111,Lyondell Chemical,"4,815.00",16,842635,1489393,"LyondellBasell was formed in December 2007 by the acquisition of Lyondell Chemical Company by Basell Polyolefins for $12.7 billion.[7] As of 2016, Lyondell was the third largest independent chemical manufacturer in the United States.[8]"
112,Black & Decker,"4,790.40",-333.6,93556,12355,2010 – Black & Decker merges with Stanley Works to become Stanley Black & Decker
113,Fort James,"4,747.60",-427.3,53117,38195,"In 1997, the Fort Howard Paper Company and the James River Corporation merged to form the Fort James Corporation.[1][4] Fort Howard was headquartered in Green Bay and James River in Richmond,In 2000, the Fort James Corporation was acquired by Georgia-Pacific for $11 billion;[1][4] GP is based in Atlanta, Georgia. Virginia."
114,Mead,"4,725.20",71.6,64394,,"missing 2005+, strange. "
115,Chiquita Brands Intl.,"4,534.10",-284,101063,,
116,Dresser Industries,"4,282.80",-365.5,30099,,"In 1998, Dresser merged with its main rival Halliburton,[1] Halliburton sold many of former Dresser non ""oil patch"" divisions, retaining the M W Kellogg Engineering and Construction Company and the Dresser oil-patch products and services that complemented Halliburton's energy and natural resource businesses. In 2001 Halliburton sold five separate, but somewhat related former Dresser non ""oil patch"" divisions, to an investment banking firm. Those five operations later took the name ""Dresser Inc."" In October 2010, Dresser Inc., was acquired by General Electric.[2] It is headquartered in Addison, Texas.[3]"
117,R.R. Donnelley & Sons,"4,193.10",234.7,29669,,
118,Tyson Foods,"4,169.70",160.5,100493,,
119,Compaq Computer,"4,132.20",213.2,714154,,"Struggling to keep up in the price wars against Dell, as well as with a risky acquisition of DEC,[4] Compaq was acquired for US$25 billion by HP in 2002"
120,J.E. Seagram,"4,130.00",437,,,Seagram was sold to French conglomerate Vivendi in 2000.
121,Rhone-Poulenc Rorer,"4,116.30",438.3,217028,1325676,In 1999 it merged with Hoechst AG to form Aventis.
122,Eaton,"4,109.00",-128,1490873,,
123,Schering-Plough,"4,094.20",720.4,310158,," On November 4, 2009 Merck & Co. merged with Schering-Plough with the new company taking the name of Merck & Co."
124,Bethlehem Steel,"4,012.80",-449.3,11860,,"After a decline in the American steel industry and other problems leading to the company's bankruptcy in 2001, the Bethlehem Steel Corporation was dissolved and the remaining assets sold to International Steel Group in 2003; Bethlehem Steel Corporation did not merge with/into International Steel Group."
125,FMC,"3,992.40",-75.7,37785,,
126,Navistar International,"3,892.00",-212,808450,,
127,VF,"3,864.60",237,,,
128,Avon Products,"3,847.60",175,8868,,
129,American Standard,"3,804.40",-57.2,836102,,
130,Ingersoll-Rand,"3,783.80",-234.4,1466258,50485,
131,Crown Holdings,"3,780.70",155.4,1219601,,
132,Cummins,"3,749.20",-189.5,26172,,
133,Corning,"3,744.00",-12.6,24741,,
134,OfficeMax,"3,732.20",-227.5,929428,,
135,Pharmacia,"3,732.00",324.3,12978,,
136,Owens-Illinois,"3,718.40",-134.2,812233,812074,This may refer to OWENS & MINOR INC/VA/ or OWENS ILLINOIS INC /DE/
137,AMAX,"3,703.00",-284.3,,,
138,Times Mirror,"3,702.00",-66.6,98349,925260,Times Mirror Co. was acquired by the Tribune Company in 2000
139,Sun Microsystems,"3,627.90",173.3,709519,,"On April 20, 2009, it was announced that Oracle Corporation would acquire Sun for US$7.4 billion. The deal was completed on January 27, 2010.[3]"
140,Masco,"3,553.70",183.1,62996,,
141,Grumman,"3,503.90",-123.2,1133421,,
142,Ryerson Tull,"3,494.30",-815.6,790528,1013595,
143,Gannett,"3,469.00",199.7,39899,,"In 2015, Gannett Co., Inc., spun off its publishing business into a separate publicly traded entity, while retaining the internet media divisions. Immediately following the spin off, the former parent Company (Gannett Co., Inc.) renamed itself Tegna and owns approximately 50 TV stations. The spun-off publishing business renamed itself ""Gannett"""
144,Pitney Bowes,"3,460.00",100.2,78814,,
145,Farmland Industries,"3,438.00",N.A.,34616,, sold all of its assets in 2002–04
146,FINA,"3,408.80",-10.2,,,
147,Kerr-McGee,"3,392.00",-101,55458,1141185,
148,AMP,"3,354.80",290.3,1242513,,
149,Agway,"3,274.90",N.A.,2852,," On October 1, 2002 the company filed for Chapter 11 bankruptcy"
150,Air Products & Chem.,"3,242.70",271,2969,,
151,Hershey Foods,"3,222.30",242.6,47111,,
152,Varity,"3,186.20",-178,63118,,"In March 1999, LucasVarity was purchased by US automotive company TRW.[7]"
153,Rohm & Haas,"3,083.00",-5,84792,, Dow Chemical Company bought Rohm and Haas for $15 billion in 2009
154,Tyco International,"3,066.50",95.3,833444,,"On January 25, 2016, Johnson Controls announced it would merge with Tyco, and all businesses of Tyco and Johnson Controls would be combined under Tyco International plc, to be renamed as Johnson Controls International plc."
155,Union Camp,"3,064.40",76.2,100783,,In 1999 it was acquired by International Paper.
156,Harris,"3,041.90",75.2,202058,,
157,Maytag,"3,041.20",-315.4,63541,,The Maytag Corporation is an American home and commercial appliance brand owned by Whirlpool Corporation after the April 2006 acquisition of Maytag.
158,Berkshire Hathaway,"3,029.30",407.3,109694,,
159,Smurfit-Stone Container,"3,000.20",-83.7,94610,727742,"SSCC was formed in November 1998, with the merger of Jefferson Smurfit Corporation (JSC) and Stone Container Corporation (Stone).I have also included the Smurfit Corporation cik here "
160,Universal,"2,989.00",70.7,102037,,
161,Ethyl,"2,975.00",255,33656,,"In 2004, Ethyl Corporation became a subsidiary of NewMarket Corporation (NYSE: NEU)."
162,Premark International,"2,954.40",-79.3,800575,,
163,Teledyne,"2,890.80",33.2,1094285,,
164,Seagate Technology,"2,888.70",63.2,1137789,354952,
165,Loral,"2,881.80",121.8,1029850,1006269,
166,Hercules,"2,878.30",167.9,1280784,46989," 2008, when it was merged into Ashland Inc."
167,Owens Corning,"2,878.00",73,75234,1370946,
168,Illinois Tool Works,"2,820.80",192.1,49826,,
169,Hormel Foods,"2,813.70",95.2,48465,,
170,PerkinElmer,"2,788.80",87.8,31791,77551,
171,Paccar,"2,761.40",65.2,75362,,
172,Sherwin-Williams,"2,759.50",62.9,89800,,
173,Pennzoil,"2,729.30",128.2,77320,,
174,Temple-Inland,"2,713.20",146.9,731939,,
175,Readers Digest Assn.,"2,666.90",234.4,858558,,
176,Mapco,"2,644.20",100.7,62142,,
177,Avery Dennison,"2,622.90",80.1,8818,,
178,Diamond Shamrock,"2,602.60",8.7,810316,,
179,Ultramar Diamond Shamrock,"2,595.50",56.3,887207,,
180,Phelps Dodge,"2,594.00",221.7,78066,,
181,Land OLakes,"2,561.80",N.A.,1032562,,
182,AMDAHL,"2,553.70",-7,4427,, been a wholly owned subsidiary of Fujitsu since 1997.
183,Armstrong Holdings,"2,549.80",-234.2,1109304,,
184,Baker Hughes,"2,544.60",5,808362,1701605,
185,Hasbro,"2,541.10",179.2,46080,,
186,Goodrich,"2,530.60",-295.9,42542,,
187,Ball,"2,446.40",69.1,9389,,
188,Engelhard,"2,399.70",10.6,352947,,
189,Total Petroleum,"2,397.00",3.6,,,
190,Whitman,"2,397.00",59.8,49573,1084230,
191,Olin,"2,386.00",9,74303,,
192,Parker Hannifin,"2,382.00",11.2,76334,,
193,National Steel,"2,373.30",-48.4,70578,1231868,
194,McDermott,"2,372.70",26.5,708819,,
195,Willamette Industries,"2,372.40",81.6,107189,,"In 2002, the lumber and paper company was purchased by competitor Weyerhaeuser of Federal Way, Washington in a hostile buyout and merged into Weyerhaeuser's existing operations."
196,Becton Dickinson,"2,365.30",200.8,10795,,
197,Westvaco,"2,343.90",135.9,106498,1159297,
198,Knight-Ridder,"2,334.60",40.9,205520,,"bought by McClatchy on June 27, 2006"
199,Quantum Chemical,"2,324.20",-287.5,,,
200,Dean Foods,"2,291.00",62,931336,,
201,Dover,"2,291.00",129.7,29905,,
202,Intl. Multifoods,"2,281.40",22,51410,,"*cant find M&A records on wiki, 2005 onwards data missing"
203,Conner Peripherals,"2,273.50",121.1,792397,,"In 1996, Conner Peripherals was acquired by Seagate."
204,Premcor,"2,270.80",-5.1,1159119,,Premcor was acquired by Valero in 2005. 
205,Maxxam,"2,254.20",-7.3,63814,,
206,Manville,"2,241.50",35.9,355473,,
207,Brunswick,"2,227.70",-26.3,14930,,
208,Collins & Aikman,"2,226.70",-170.5,1037123,846815,
209,Stanley Works,"2,217.70",98.1,93556,,
210,Louisiana-Pacific,"2,192.00",176.9,60519,,
211,Polaroid,"2,168.20",99,79326,1227728," Polaroid Corporation was declared bankrupt in 2001, its brand and assets were sold off. The ""new"" Polaroid formed as a result, and itself declared bankruptcy in 2008, resulting in a further sale and in the present-day Polaroid Corporation"
212,Tosco,"2,161.10",-74.5,74091,,"Tosco merged with Phillips Petroleum in 2001. Phillips merged with Conoco in 2002 to become ConocoPhillips, who spun off the Circle K stores to Canadian-based Alimentation Couche-Tard."
213,Tribune,"2,122.40",119.8,726513,,
214,E-SYSTEMS,"2,094.90",-69.5,,,"In 1995, Raytheon Company acquired E-Systems, Inc."
215,ARMCO,"2,084.10",-429.9,7383,,"In 1999, AK steel holding acquired Armco Inc., its former parent company, for $1.3 billio"
216,Burlington Industries Equity,"2,065.90",-182.5,870213,,Its assets were acquired by International Textile Group (ITG) out of bankruptcy in late 2003
217,Tandem Computers,"2,058.30",-41.2,315180,,
218,McGraw-Hill,"2,050.50",28.6,64040,,
219,Springs Industries,"1,976.10",44.5,93102,,"On June 27, 2007 Springs said that after 120 years, Springs would end manufacturing in South Carolina with the closing of its Grace and Close plants. The state would still have about 700 employees, most of them at distribution centers in Lancaster and Fort Lawn, and at the Fort Mill offices"
220,Molson Coors Brewing,"1,970.10",-2,24545,,
221,Dow Corning,"1,955.70",-72,29917,,"Following the December 11, 2015 announcement that it would merge with DuPont, "
222,York International,"1,939.40",50.9,842662,,"The York brand has been owned since August 2005 by Johnson Controls, when it was sold to them for $3.2 billion."
223,GenCorp,"1,937.00",22,40888,,
224,Asarco,"1,932.40",-83.1,7649,,"In 1999 it was acquired by Grupo México, which had begun as Asarco's 49%-owned Mexican subsidiary in 1965."
225,Morton International,"1,929.40",144.5,1035972,,
226,Wang Laboratories,"1,909.50",-356.6,,,"10-k available online, but somehow not in directory"
227,Central Soya,"1,907.70",28,,,
228,Arvin Industries,"1,893.20",6.4,7636,,
229,Pet,"1,881.30",103.4,888455,,missing 10-ks from 2007 onwards
230,Mattel,"1,880.20",143.9,63276,,
231,MID-AMERICA DAIRYMEN,"1,874.70",N.A.,789868,,
232,Sequa,"1,868.30",-11.1,95301,,
233,Fruit of the Loom,"1,855.10",178.6,1053303,,
234,Sonoco Products,"1,844.40",43.4,91767,,
235,Dow Jones,"1,824.70",107.6,29924,,2007 when an extended takeover battle saw News Corp take control of the company
236,Rubbermaid,"1,810.30",164.1,814453,85627,
237,Echlin,"1,793.10",64.3,31348,,"data available till 1996, no info traceable on internet"
238,USG,"1,789.00",-191,757011,,
239,CENEX,"1,778.50",N.A.,823277,,
240,New York Times,"1,773.50",-44.7,71691,,
241,Shaw Industries,"1,751.40",58,89498,,"On January 4, 2001, under the guidance of CEO and President W. Norris Little, Sr. and CEO Bob Shaw, Shaw Industries was sold to Berkshire Hathaway Inc."
242,Witco,"1,738.20",39.2,107889,,
243,National Semiconductor,"1,726.30",-120.1,70530,,
244,Imcera Group,"1,724.50",127.5,,,https://en.wikipedia.org/wiki/Mallinckrodt
245,Bausch & Lomb,"1,722.30",171.4,10427,,
246,Clorox,"1,717.00",98.7,21076,,
247,Sundstrand,"1,697.50",-121.7,95395,,"Hamilton Sanstrand company was formed from the merger of Hamilton Standard and Sundstrand Corporation in 1999. In 2012, Hamilton Sundstrand was merged with Goodrich Corporation to form UTC Aerospace Systems. No evidence of Hamilton Sanstrand can be found in the directory "
248,Aeroquip-Vickers,"1,695.50",14.4,59198,,"On February 1, 1999, Eaton and Aeroquip-Vickers jointly announced that Eaton would acquire all of the outstanding common shares of Aeroquip-Vickers for $58 per share in cash, or approximately $1.7 billion."
249,Murphy Oil,"1,685.60",105.6,717423,,
250,Metaldyne,"1,678.30",38.4,745448,1616817,"Metaldyne Performance Group Inc.'s majority owner, American Securities LLC, and its affiliates acquired HHI Holdings in October 2012; Metaldyne, LLC in December 2012"
251,Burlington Resources,"1,658.70",257.8,,,
252,Freeport-McMoran,"1,654.90",187.8,,,
253,Cyprus Amax Minerals,"1,644.70",-333.6,,,
254,Timken,"1,642.30",4.5,,,
255,National Service Industries,"1,633.80",74.1,,,
256,Harsco,"1,633.10",84.3,,,
257,General Signal,"1,622.50",-83.2,,,
258,Nucor,"1,620.50",79.2,,,
259,Duracell International,"1,616.70",127.8,,,
260,Fleetwood Enterprises,"1,601.20",40.2,,,
261,Storage Technology,"1,588.50",15.5,,,
262,Newell Rubbermaid,"1,583.40",119.1,,,
263,Crown Central,"1,576.30",-5.5,,,
264,American Greetings,"1,573.10",97.5,,,
265,Cabot,"1,562.20",62.2,,,
266,Lubrizol,"1,559.30",124.6,,,
267,Reliance Electric,"1,553.00",26,,,
268,Deluxe,"1,552.30",202.8,,,
269,Advanced Micro Devices,"1,531.10",245,,,
270,Lafarge,"1,511.20",-100.6,,,
271,WestPoint Stevens,"1,499.10",-190.1,,,
272,Great Lakes Chemical,"1,496.50",232.7,,,
273,Bowater,"1,495.60",-82,,,
274,Nacco Industries,"1,481.50",-85.9,,,
275,McCormick,"1,476.10",95.2,,,
276,Furniture Brands Intl.,"1,471.70",-48.9,,,
277,Washington Post,"1,463.80",127.8,,,
278,Federal Paper Board,"1,460.80",91.6,,,
279,Hillenbrand Industries,"1,438.20",116.3,,,
280,Del Monte Foods,"1,438.00",-58,,,
281,Lear,"1,422.70",-22.2,,,
282,Joy Global,"1,401.00",56.7,,,
283,Nalco Chemical,"1,394.50",145,,,
284,Coltec Industries,"1,368.70",-42.2,,,
285,Walter Industries,"1,366.60",22.3,,,
286,M.A. Hanna,"1,337.90",19,,,
287,Potlatch,"1,330.40",78.9,,,
288,Thiokol,"1,322.00",63,,,
289,Oryx Energy,"1,313.00",14,,,
290,Gold Kist Holdings,"1,312.00",N.A.,,,
291,Crane,"1,312.00",24.3,,,
292,Wm. Wrigley Jr.,"1,301.30",141.3,,,
293,Great American Mgmt. & Inv.,"1,298.40",42.1,,,
294,Tektronix,"1,297.20",19.7,,,
295,Raychem,"1,296.30",-24.8,,,
296,Dresser-Rand,"1,294.40",N.A.,,,
297,Gerber Products,"1,293.10",127.6,,,
298,Varian Associates,"1,290.70",38.7,,,
299,Tecumseh Products,"1,286.70",-42.7,,,
300,Rohr,"1,283.30",1.5,,,
